scaler,roc_auc,accuracy,f1,precision,recall,dataset
MinMaxScaler,0.762725461940129,0.8202916666666666,0.471275972015181,0.67801056988183,0.3612676056338028,validation
MinMaxScaler,0.7599892655724354,0.817,0.45209580838323354,0.6555716353111433,0.345011424219345,testing
StandardScaler,0.7650823313272589,0.8200833333333334,0.47008053742427647,0.677841656340598,0.3599526986480285,validation
StandardScaler,0.7641879769536422,0.8181666666666667,0.45586034912718204,0.6604046242774566,0.3480578827113481,testing
