encoder,roc_auc,accuracy,f1,precision,recall,dataset
OrdinalEncoder,0.7230044112414584,0.8098750000000001,0.368512716255103,0.6998001351216646,0.2502365067598574,validation
OrdinalEncoder,0.7293956595278769,0.8085,0.35485682201010665,0.6752136752136753,0.24067022086824066,testing
OneHotEncoder,0.767604769827291,0.82075,0.46917223579744904,0.6833471895860921,0.35732253168131595,validation
OneHotEncoder,0.7669058703149203,0.8185,0.4530386740331492,0.6651917404129793,0.3434881949733435,testing
WoE,0.7650823313272589,0.8200833333333334,0.47008053742427647,0.677841656340598,0.3599526986480285,validation
WoE,0.7641879769536422,0.8181666666666667,0.45586034912718204,0.6604046242774566,0.3480578827113481,testing
