smote,roc_auc,accuracy,f1,precision,recall,dataset
1,0.7639748437915235,0.7809583333333333,0.5329654829947978,0.5056101002199063,0.5635982562038899,validation
1,0.7626548355053785,0.7808333333333334,0.5351714386709084,0.49934036939313986,0.5765422696115765,testing
0,0.7650820296510707,0.8200833333333334,0.47008053742427647,0.677841656340598,0.3599526986480285,validation
0,0.7641879769536422,0.8181666666666667,0.45586034912718204,0.6604046242774566,0.3480578827113481,testing
