iter	Logloss
0	0.693146128
1	0.6930545212
2	0.6929453365
3	0.6929452778
4	0.6917556904
5	0.691399224
6	0.6905163466
7	0.6896942671
8	0.6890023772
9	0.6877996554
10	0.6877996682
11	0.6867359038
12	0.6866855346
13	0.6863145116
14	0.6862606009
15	0.6854541928
16	0.684423131
17	0.6836074835
18	0.6827883308
19	0.6822485687
20	0.6822485553
21	0.682163588
22	0.6814083977
23	0.6813894553
24	0.6808197573
25	0.6804494755
26	0.6794084927
27	0.6784696883
28	0.6782981563
29	0.6771818367
30	0.6761952397
31	0.6761952986
32	0.6761226548
33	0.6748675349
34	0.6740430342
35	0.6733334999
36	0.6723940875
37	0.6716331931
38	0.671184296
39	0.6702921583
40	0.670178903
41	0.6690142484
42	0.6681688975
43	0.6672524304
44	0.6664515598
45	0.6655200754
46	0.6651161382
47	0.664228773
48	0.664228649
49	0.6633730428
50	0.6623954612
51	0.6623903735
52	0.6618219848
53	0.6610079356
54	0.6600717331
55	0.6591775859
56	0.6586407735
57	0.6579055234
58	0.6573050852
59	0.6570715454
60	0.6570712903
61	0.6570059932
62	0.6570059729
63	0.6564203648
64	0.6558193538
65	0.6558192822
66	0.6553506005
67	0.6553507184
68	0.6546555698
69	0.6539900238
70	0.6539898736
71	0.6539723485
72	0.653972055
73	0.6539720543
74	0.6531020688
75	0.6525897599
76	0.6525352974
77	0.6521785208
78	0.6512867264
79	0.6506810229
80	0.6502667402
81	0.649431827
82	0.6494316305
83	0.6485428942
84	0.6477227862
85	0.6477224198
86	0.6467845381
87	0.6464148294
88	0.6461233374
89	0.6456749623
90	0.6456547462
91	0.6452835332
92	0.6446541273
93	0.6441889681
94	0.6441458734
95	0.6435693335
96	0.6427319749
97	0.6421106566
98	0.6418391895
99	0.641512646
100	0.6408625564
101	0.6404079089
102	0.6403377161
103	0.6398864902
104	0.6391903562
105	0.6390830781
106	0.6386070814
107	0.6380414915
108	0.6380413019
109	0.6375205191
110	0.6374447611
111	0.6368760924
112	0.6368670848
113	0.6368160768
114	0.6368158284
115	0.6364060361
116	0.6363195631
117	0.6362167145
118	0.6354924627
119	0.6354630838
120	0.6349136133
121	0.6343630813
122	0.6340084422
123	0.6336475291
124	0.6332685796
125	0.6332684883
126	0.632833536
127	0.632109493
128	0.6320656223
129	0.6317460286
130	0.6317457671
131	0.6311742516
132	0.631134125
133	0.6305339923
134	0.629952308
135	0.6294907178
136	0.6292235781
137	0.6292233879
138	0.6290813256
139	0.6283796662
140	0.6283364892
141	0.6282627578
142	0.6275579997
143	0.6269394613
144	0.6268867656
145	0.6268165044
146	0.6264017978
147	0.6256279362
148	0.6253649949
149	0.6246797383
150	0.6245928126
151	0.6243423509
152	0.624193223
153	0.6241115882
154	0.6241113335
155	0.6235830969
156	0.622873483
157	0.622213013
158	0.6216312147
159	0.6213954749
160	0.6213952649
161	0.6213086213
162	0.6209105529
163	0.6209103628
164	0.6208773646
165	0.6208771945
166	0.6208769454
167	0.6208767034
168	0.6208766315
169	0.6204567998
170	0.620008813
171	0.619440332
172	0.619440063
173	0.6188634809
174	0.6181884704
175	0.6177079461
176	0.6173833524
177	0.617383202
178	0.6173829137
179	0.6169608302
180	0.6164770513
181	0.6164620056
182	0.6164241723
183	0.6158880324
184	0.6158654044
185	0.6156866602
186	0.6156013269
187	0.6150817242
188	0.6148167832
189	0.6148070242
190	0.6141788723
191	0.6137067033
192	0.6136174555
193	0.6135604332
194	0.613008756
195	0.6129214856
196	0.6125402738
197	0.6121389092
198	0.6118967268
199	0.6118776036
200	0.6108163503
201	0.6105414282
202	0.6105409463
203	0.6101135587
204	0.6101131204
205	0.6096633919
206	0.6092980637
207	0.608912406
208	0.6088904379
209	0.6086498765
210	0.6086495825
211	0.6081327083
212	0.6077308489
213	0.6077098721
214	0.6073681839
215	0.6071050096
216	0.606810705
217	0.6068096367
218	0.6065806803
219	0.6063771884
220	0.6062301151
221	0.6060371057
222	0.6057632226
223	0.6054131863
224	0.6053903883
225	0.6052311887
226	0.6051712984
227	0.6047695555
228	0.6042066899
229	0.6040992035
230	0.6037899971
231	0.6034621245
232	0.6029476548
233	0.602665613
234	0.602179724
235	0.6020871431
236	0.6016525744
237	0.6013060518
238	0.6008820682
239	0.6004696868
240	0.6003624483
241	0.6001530044
242	0.5996036641
243	0.5993734432
244	0.599238559
245	0.5992381731
246	0.5988844023
247	0.5988839446
248	0.5986714764
249	0.5982247029
250	0.5980034939
251	0.5976982995
252	0.5976758959
253	0.5976187815
254	0.5974423266
255	0.5972754187
256	0.5970167844
257	0.5967141757
258	0.5965346052
259	0.5960435792
260	0.5954852836
261	0.5954355437
262	0.5947589049
263	0.594633738
264	0.5945988468
265	0.5942278325
266	0.5940675339
267	0.5938313448
268	0.5933571379
269	0.5933084767
270	0.5929150806
271	0.5926928958
272	0.5926630498
273	0.5926604047
274	0.5922152394
275	0.5917049656
276	0.5916522689
277	0.5915766
278	0.5913058858
279	0.5908899365
280	0.5907903749
281	0.5905532712
282	0.5901767078
283	0.5900826456
284	0.590062659
285	0.5897468264
286	0.5893894698
287	0.58907237
288	0.5888844999
289	0.5886338359
290	0.5883303799
291	0.5883110926
292	0.5883108432
293	0.5882657731
294	0.5879307586
295	0.5876636031
296	0.587050283
297	0.5870499229
298	0.5869778789
299	0.5868581166
300	0.5868577241
301	0.5867171924
302	0.5867169236
303	0.5862812761
304	0.5862500515
305	0.586160568
306	0.5861602084
307	0.5859853047
308	0.5859818025
309	0.5858853678
310	0.585658262
311	0.585649462
312	0.585649245
313	0.5855040065
314	0.5852728036
315	0.5852725871
316	0.5850911908
317	0.5848483237
318	0.5844321837
319	0.5844094495
320	0.5841791495
321	0.5841662147
322	0.5838408717
323	0.5838405637
324	0.5837648249
325	0.5836442633
326	0.5832355216
327	0.5832351877
328	0.5832349457
329	0.5830193323
330	0.5825736102
331	0.5821824066
332	0.5820728145
333	0.5819986031
334	0.5819722663
335	0.5815082628
336	0.5809334389
337	0.5809330393
338	0.5807105674
339	0.5803281242
340	0.5800827655
341	0.5800085534
342	0.5799855809
343	0.5799742624
344	0.5798348922
345	0.5796954875
346	0.579549324
347	0.5795383599
348	0.5790097402
349	0.5790017226
350	0.5787103446
351	0.5785020472
352	0.5784734792
353	0.5781787253
354	0.578071847
355	0.5780683097
356	0.5780681324
357	0.5776516593
358	0.5772729134
359	0.5769032279
360	0.5766535307
361	0.5765358451
362	0.5764465513
363	0.5760521252
364	0.5760518892
365	0.5756207536
366	0.575577116
367	0.5753390738
368	0.5753267096
369	0.5751248467
370	0.5749743573
371	0.5746382526
372	0.5745639335
373	0.5745515273
374	0.5742578795
375	0.5741661023
376	0.5741142037
377	0.5737563029
378	0.5735472829
379	0.5733060679
380	0.5732960926
381	0.5732534408
382	0.5729820862
383	0.5726613968
384	0.5726612917
385	0.5725894413
386	0.5723946689
387	0.5723498175
388	0.5723415961
389	0.5722819092
390	0.571905845
391	0.5715736454
392	0.571530974
393	0.571329462
394	0.5713247861
395	0.5712010525
396	0.5712007446
397	0.5708170016
398	0.5707209057
399	0.5707206633
400	0.5705128394
401	0.5702589077
402	0.570258783
403	0.5701942029
404	0.5699886017
405	0.5697089483
406	0.5696911402
407	0.569652901
