feature_selection,selected_features,roc_auc,accuracy,f1,precision,recall,dataset
yes,"limit_bal, education, pay_1, pay_2, pay_3, pay_4, pay_5, pay_6",0.7604296782328583,0.7809583333333332,0.5283043250199848,0.5059086269435942,0.5530772353418758,validation
yes,"limit_bal, education, pay_1, pay_2, pay_3, pay_4, pay_5, pay_6",0.7524216241354651,0.7788333333333334,0.5272532953330958,0.49531459170013387,0.5635948210205636,testing
no,all,0.7639824286278039,0.7802083333333333,0.5317639995877539,0.5040732542849417,0.5628474354901337,validation
no,all,0.7643852460281724,0.781,0.5347025495750708,0.499669093315685,0.575019040365575,testing
