categorical_features,encoder,scaler,smote,roc_auc,accuracy,f1,precision,recall
"gender, marriage, education",OrdinalEncoder,MinMaxScaler,0,0.7196800012237163,0.80903125,0.34893154632005585,0.7154271177688897,0.2307441231019527
"gender, marriage, education",OneHotEncoder,MinMaxScaler,0,0.7217106290613028,0.80971875,0.3527939874458389,0.7181178319046735,0.23384382818866375
"gender, marriage, education",WoE,MinMaxScaler,0,0.7203285284114644,0.8089999999999999,0.3495873389160941,0.7141714377082671,0.23144859100354004
"gender, marriage, education",OrdinalEncoder,StandardScaler,0,0.7230546625870845,0.81021875,0.36100853452679516,0.7127466579178703,0.2417341841017243
"gender, marriage, education",OneHotEncoder,StandardScaler,0,0.7248554788397048,0.81071875,0.3640304460708663,0.7143014084492949,0.24427034354128208
"gender, marriage, education",WoE,StandardScaler,0,0.7237784449871599,0.8104895833333334,0.36258835672050715,0.7136430467533094,0.2430492893726776
"gender, marriage, education, age",OrdinalEncoder,MinMaxScaler,0,0.7197902193206926,0.8086874999999999,0.3478276194694697,0.7129171668895985,0.23003960005783347
"gender, marriage, education, age",OneHotEncoder,MinMaxScaler,0,0.7218728893026134,0.8094270833333332,0.35147247724076214,0.716517384429727,0.23285752680671473
"gender, marriage, education, age",WoE,MinMaxScaler,0,0.7203601373922434,0.8086041666666667,0.34750206597224087,0.7124005342887125,0.22980475904312708
"gender, marriage, education, age",OrdinalEncoder,StandardScaler,0,0.7231555224750658,0.8101875,0.3611946775072644,0.7121603312761311,0.24196901408792434
"gender, marriage, education, age",OneHotEncoder,StandardScaler,0,0.7250318010314925,0.81053125,0.3632674938228435,0.7132238015181435,0.24370672069458416
"gender, marriage, education, age",WoE,StandardScaler,0,0.7237730040548568,0.8103958333333333,0.3626618319200492,0.7125467049522917,0.24323703866517135
"gender, marriage, education, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7213411438962025,0.8100104166666666,0.36838318913273077,0.7012240613168457,0.24981200256611286
"gender, marriage, education, pay_x",OneHotEncoder,MinMaxScaler,0,0.7695545513272531,0.8221354166666668,0.4743366898688608,0.688403447094877,0.36182618169618647
"gender, marriage, education, pay_x",WoE,MinMaxScaler,0,0.7656563513636223,0.8205312500000002,0.4720970831302738,0.679061165671848,0.36182625889573106
"gender, marriage, education, pay_x",OrdinalEncoder,StandardScaler,0,0.7247383599282602,0.8099687499999998,0.36954888676005665,0.6993705757937905,0.25112726223615545
"gender, marriage, education, pay_x",OneHotEncoder,StandardScaler,0,0.7728006615422623,0.8221666666666666,0.47405964231112774,0.688934687676331,0.3613565106952801
"gender, marriage, education, pay_x",WoE,StandardScaler,0,0.7686349089897714,0.8206041666666668,0.4722969690290217,0.6793884064748361,0.36196718115016513
"gender, marriage, education, age, pay_x",OrdinalEncoder,MinMaxScaler,0,0.7212847853154882,0.8098541666666665,0.36788718528344583,0.7002161636067783,0.24948330896217233
"gender, marriage, education, age, pay_x",OneHotEncoder,MinMaxScaler,0,0.769774407109456,0.82203125,0.47406249955734153,0.6879253348491663,0.3616383110901226
"gender, marriage, education, age, pay_x",WoE,MinMaxScaler,0,0.7657580817889814,0.8206770833333333,0.4727525189689194,0.6794560120311576,0.3624837784456887
"gender, marriage, education, age, pay_x",OrdinalEncoder,StandardScaler,0,0.7248815497197221,0.8099479166666667,0.3696126320504836,0.6990903177512066,0.2512211699679214
"gender, marriage, education, age, pay_x",OneHotEncoder,StandardScaler,0,0.7730746477088914,0.82190625,0.4734683495411597,0.6876309436869168,0.36102771783478216
"gender, marriage, education, age, pay_x",WoE,StandardScaler,0,0.7687076384277646,0.8206875,0.47257400457894655,0.6797086491732494,0.3622020221648715
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,MinMaxScaler,0,0.7283352073548172,0.8078229166666666,0.362249473021017,0.6861047548401912,0.24610206816477165
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,MinMaxScaler,0,0.7722488416878427,0.8221458333333335,0.4761921178967478,0.6865793379478514,0.3645032744186847
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,MinMaxScaler,0,0.7660623132948491,0.82,0.4686272148183628,0.6786470282423904,0.35788103131092214
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OrdinalEncoder,StandardScaler,0,0.7284237622593003,0.8077708333333333,0.36214298569679226,0.6857022627762357,0.2460551087846355
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",OneHotEncoder,StandardScaler,0,0.7722137233480209,0.82209375,0.47592700574230706,0.6864751581746937,0.3642214740238421
"gender, marriage, education, age, pay_x, bill_amt, pay_amt",WoE,StandardScaler,0,0.7659803307944475,0.8198958333333334,0.4683207982269746,0.6782023567373349,0.35764620132472213
